,Step_Size,Test_Accuracy,,,Step_Size,0,100,200,300,400
0,0,0.0994,,,Test_Accuracy,9.94%,42.08%,44.97%,49.99%,51.41%
1,100,0.4208,,,Step_Size,500,600,700,800,900
2,200,0.4497,,,Test_Accuracy,53.85%,56.07%,57.68%,57.64%,58.50%
3,300,0.4999,,,Step_Size,1000,1100,1200,1300,1400
4,400,0.5141,,,Test_Accuracy,61.13%,62.12%,62.63%,62.04%,63.06%
5,500,0.5385,,,Step_Size,1500,1600,1700,1800,1900
6,600,0.5607,,,Test_Accuracy,63.46%,64.64%,64.26%,64.29%,65.62%
7,700,0.5768,,,Step_Size,2000,2100,2200,2300,2400
8,800,0.5764,,,Test_Accuracy,64.91%,65.40%,67.48%,66.59%,67.42%
9,900,0.585,,,Step_Size,2500,2600,2700,2800,2900
10,1000,0.6113,,,Test_Accuracy,66.86%,66.53%,68.32%,67.69%,68.10%
11,1100,0.6212,,,Step_Size,3000,3100,3200,3300,3400
12,1200,0.6263,,,Test_Accuracy,68.37%,68.05%,67.97%,67.50%,68.47%
13,1300,0.6204,,,Step_Size,3500,3600,3700,3800,3900
14,1400,0.6306,,,Test_Accuracy,68.96%,68.41%,67.45%,67.24%,68.35%
15,1500,0.6346,,,Step_Size,4000,4100,4200,4300,4400
16,1600,0.6464,,,Test_Accuracy,68.62%,66.81%,68.61%,67.46%,69.35%
17,1700,0.6426,,,Step_Size,4500,4600,4700,4800,4900
18,1800,0.6429,,,Test_Accuracy,68.23%,66.78%,68.73%,67.70%,68.10%
19,1900,0.6562,,,,,,,,
20,2000,0.6491,,,,,,,,
21,2100,0.654,,,,,,,,
22,2200,0.6748,,,,,,,,
23,2300,0.6659,,,,,,,,
24,2400,0.6742,,,,,,,,
25,2500,0.6686,,,,,,,,
26,2600,0.6653,,,,,,,,
27,2700,0.6832,,,,,,,,
28,2800,0.6769,,,,,,,,
29,2900,0.681,,,,,,,,
30,3000,0.6837,,,,,,,,
31,3100,0.6805,,,,,,,,
32,3200,0.6797,,,,,,,,
33,3300,0.675,,,,,,,,
34,3400,0.6847,,,,,,,,
35,3500,0.6896,,,,,,,,
36,3600,0.6841,,,,,,,,
37,3700,0.6745,,,,,,,,
38,3800,0.6724,,,,,,,,
39,3900,0.6835,,,,,,,,
40,4000,0.6862,,,,,,,,
41,4100,0.6681,,,,,,,,
42,4200,0.6861,,,,,,,,
43,4300,0.6746,,,,,,,,
44,4400,0.6935,,,,,,,,
45,4500,0.6823,,,,,,,,
46,4600,0.6678,,,,,,,,
47,4700,0.6873,,,,,,,,
48,4800,0.677,,,,,,,,
49,4900,0.681,,,,,,,,
,,,,,,,,,,
,,0.68058,,,,,,,,
