,Step_Size,Test_Accuracy,,,,,,,,
0,0,0.1033,,,,,,,,
1,100,0.3997,,,Step_Size,0,100,200,300,400
2,200,0.463,,,Test_Accuracy,10.33%,39.97%,46.30%,48.51%,51.58%
3,300,0.4851,,,Step_Size,1000,1100,1200,1300,1400
4,400,0.5158,,,Test_Accuracy,61.79%,62.27%,63.30%,61.95%,64.84%
5,500,0.5491,,,Step_Size,2000,2100,2200,2300,2400
6,600,0.5544,,,Test_Accuracy,68.32%,68.13%,69.11%,68.74%,69.80%
7,700,0.5481,,,Step_Size,3000,3100,3200,3300,3400
8,800,0.5837,,,Test_Accuracy,70.34%,71.91%,71.81%,70.87%,71.57%
9,900,0.6069,,,Step_Size,4000,4100,4200,4300,4400
10,1000,0.6179,,,Test_Accuracy,70.58%,70.52%,70.87%,70.76%,72.13%
11,1100,0.6227,,,Step_Size,5000,5100,5200,5300,5400
12,1200,0.633,,,Test_Accuracy,71.90%,72.27%,70.38%,72.70%,71.20%
13,1300,0.6195,,,Step_Size,6000,6100,6200,6300,6400
14,1400,0.6484,,,Test_Accuracy,72.06%,72.68%,70.39%,72.00%,72.79%
15,1500,0.6669,,,Step_Size,7000,7100,7200,7300,7400
16,1600,0.6661,,,Test_Accuracy,73.29%,73.10%,71.34%,72.80%,72.22%
17,1700,0.6696,,,Step_Size,8000,8100,8200,8300,8400
18,1800,0.6693,,,Test_Accuracy,71.78%,73.88%,72.27%,72.78%,72.66%
19,1900,0.6893,,,Step_Size,9000,9100,9200,9300,9400
20,2000,0.6832,,,Test_Accuracy,72.86%,73.54%,72.91%,72.74%,72.49%
21,2100,0.6813,,,,,,,,
22,2200,0.6911,,,,,,,,
23,2300,0.6874,,,,,,,,
24,2400,0.698,,,,,,,,
25,2500,0.6937,,,,,,,,
26,2600,0.7033,,,,,,,,
27,2700,0.7141,,,,,,,,
28,2800,0.715,,,,,,,,
29,2900,0.7092,,,,,,,,
30,3000,0.7034,,,,,,,,
31,3100,0.7191,,,,,,,,
32,3200,0.7181,,,,,,,,
33,3300,0.7087,,,,,,,,
34,3400,0.7157,,,,,,,,
35,3500,0.7117,,,,,,,,
36,3600,0.7121,,,,,,,,
37,3700,0.706,,,,,,,,
38,3800,0.7177,,,,,,,,
39,3900,0.714,,,,,,,,
40,4000,0.7058,,,,,,,,
41,4100,0.7052,,,,,,,,
42,4200,0.7087,,,,,,,,
43,4300,0.7076,,,,,,,,
44,4400,0.7213,,,,,,,,
45,4500,0.7222,,,,,,,,
46,4600,0.7229,,,,,,,,
47,4700,0.7179,,,,,,,,
48,4800,0.7251,,,,,,,,
49,4900,0.7156,,,,,,,,
50,5000,0.719,,,,,,,,
51,5100,0.7227,,,,,,,,
52,5200,0.7038,,,,,,,,
53,5300,0.727,,,,,,,,
54,5400,0.712,,,,,,,,
55,5500,0.7142,,,,,,,,
56,5600,0.7225,,,,,,,,
57,5700,0.7114,,,,,,,,
58,5800,0.726,,,,,,,,
59,5900,0.7045,,,,,,,,
60,6000,0.7206,,,,,,,,
61,6100,0.7268,,,,,,,,
62,6200,0.7039,,,,,,,,
63,6300,0.72,,,,,,,,
64,6400,0.7279,,,,,,,,
65,6500,0.7207,,,,,,,,
66,6600,0.7292,,,,,,,,
67,6700,0.7244,,,,,,,,
68,6800,0.7231,,,,,,,,
69,6900,0.7255,,,,,,,,
70,7000,0.7329,,,,,,,,
71,7100,0.731,,,,,,,,
72,7200,0.7134,,,,,,,,
73,7300,0.728,,,,,,,,
74,7400,0.7222,,,,,,,,
75,7500,0.7363,,,,,,,,
76,7600,0.741,,,,,,,,
77,7700,0.7186,,,,,,,,
78,7800,0.7303,,,,,,,,
79,7900,0.7266,,,,,,,,
80,8000,0.7178,,,,,,,,
81,8100,0.7388,,,,,,,,
82,8200,0.7227,,,,,,,,
83,8300,0.7278,,,,,,,,
84,8400,0.7266,,,,,,,,
85,8500,0.7281,,,,,,,,
86,8600,0.737,,,,,,,,
87,8700,0.7282,,,,,,,,
88,8800,0.7354,,,,,,,,
89,8900,0.7266,,,,,,,,
90,9000,0.7286,,,,,,,,
91,9100,0.7354,,,,,,,,
92,9200,0.7291,,,,,,,,
93,9300,0.7274,,,,,,,,
94,9400,0.7249,,,,,,,,
95,9500,0.7316,,,,,,,,
96,9600,0.7287,,,,,,,,
97,9700,0.7317,,,,,,,,
98,9800,0.7384,,,,,,,,
99,9900,0.7332,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,72.75%,,,,,,,,
