,Step_Size,Test_Accuracy,,,,,,,,,
0,0,0.125,,,,Step_Size,0,100,200,300,400
1,100,0.9466,,,,Test_Accuracy,12.50%,94.66%,96.10%,96.75%,97.46%
2,200,0.961,,,,Step_Size,500,600,700,800,900
3,300,0.9675,,,,Test_Accuracy,97.93%,97.97%,98.15%,98.03%,98.26%
4,400,0.9746,,,,Step_Size,1000,1100,1200,1300,1400
5,500,0.9793,,,,Test_Accuracy,98.16%,98.58%,98.75%,98.43%,98.60%
6,600,0.9797,,,,Step_Size,1500,1600,1700,1800,1900
7,700,0.9815,,,,Test_Accuracy,98.62%,98.66%,98.40%,98.69%,98.79%
8,800,0.9803,,,,Step_Size,2000,2100,2200,2300,2400
9,900,0.9826,,,,Test_Accuracy,98.98%,98.66%,98.97%,98.99%,99.11%
10,1000,0.9816,,,,Step_Size,2500,2600,2700,2800,2900
11,1100,0.9858,,,,Test_Accuracy,98.98%,98.90%,98.95%,98.88%,99.00%
12,1200,0.9875,,,,Step_Size,3000,3100,3200,3300,3400
13,1300,0.9843,,,,Test_Accuracy,99.06%,99.07%,99.06%,98.77%,98.65%
14,1400,0.986,,,,Step_Size,3000,3100,3200,3300,3400
15,1500,0.9862,,,,Test_Accuracy,99.06%,99.07%,99.06%,98.77%,98.65%
16,1600,0.9866,,,,Step_Size,3500,3600,3700,3800,3900
17,1700,0.984,,,,Test_Accuracy,99.08%,98.91%,99.08%,99.09%,98.95%
18,1800,0.9869,,,,Step_Size,4000,4100,4200,4300,4400
19,1900,0.9879,,,,Test_Accuracy,99.00%,98.91%,99.04%,99.01%,99.02%
20,2000,0.9898,,,,Step_Size,4500,4600,4700,4800,4900
21,2100,0.9866,,,,Test_Accuracy,99.13%,99.18%,99.19%,99.09%,99.10%
22,2200,0.9897,,,,,,,,,
23,2300,0.9899,,,,,,,,,
24,2400,0.9911,,,,,,,,,
25,2500,0.9898,,,,,,,,,
26,2600,0.989,,,,,,,,,
27,2700,0.9895,,,,,,,,,
28,2800,0.9888,,,,,,,,,
29,2900,0.99,,,,,,,,,
30,3000,0.9906,,,,,,,,,
31,3100,0.9907,,,,,,,,,
32,3200,0.9906,,,,,,,,,
33,3300,0.9877,,,,,,,,,
34,3400,0.9865,,,,,,,,,
35,3500,0.9908,,,,,,,,,
36,3600,0.9891,,,,,,,,,
37,3700,0.9908,,,,,,,,,
38,3800,0.9909,,,,,,,,,
39,3900,0.9895,,,,,,,,,
40,4000,0.99,,,,,,,,,
41,4100,0.9891,,,,,,,,,
42,4200,0.9904,,,,,,,,,
43,4300,0.9901,,,,,,,,,
44,4400,0.9902,,,,,,,,,
45,4500,0.9913,,,,,,,,,
46,4600,0.9918,,,,,,,,,
47,4700,0.9919,,,,,,,,,
48,4800,0.9909,,,,,,,,,
49,4900,0.991,,,,,,,,,
